gene	rank	delta_connectivity	tumor_connectivity	normal_connectivity	gene_type	description	cancer_relevance
ENSG00000144840.10|RABL3	21	619.848050	3591.295431	2971.447381	unknown	Predicted to enable GTP binding activity; GTPase activity; and protein homodimerization activity. Involved in regulation of Ras protein signal transduction and regulation of protein lipidation. Predicted to be active in endomembrane system. Implicated in pancreatic cancer. [provided by Alliance of Genome Resources, Apr 2022]	cancer
ENSG00000179295.18|PTPN11	22	618.606014	3726.618076	3108.012062	unknown	The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP contains two tandem Src homology-2 domains, which function as phospho-tyrosine binding domains and mediate the interaction of this PTP with its substrates. This PTP is widely expressed in most tissues and plays a regulatory role in various cell signaling events that are important for a diversity of cell functions, such as mitogenic activation, metabolic control, transcription regulation, and cell migration. Mutations in this gene are a cause of Noonan syndrome as well as acute myeloid leukemia. [provided by RefSeq, Aug 2016].	cancer
ENSG00000155090.15|KLF10	23	617.451291	2984.994443	2367.543151	unknown	This gene encodes a member of a family of proteins that feature C2H2-type zinc finger domains. The encoded protein is a transcriptional repressor that acts as an effector of transforming growth factor beta signaling. Activity of this protein may inhibit the growth of cancers, particularly pancreatic cancer. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2013].	cancer
ENSG00000078804.13|TP53INP2	24	612.206255	2010.687536	1398.481281	unknown	The protein encoded by this gene promotes autophagy and is essential for proper autophagosome formation and processing. In addition, the encoded protein can enhance rDNA transcription by helping in the assembly of the POLR1/RNA polymerase I preinitiation complex. Finally, this protein serves as a transcriptional activator for some genes. [provided by RefSeq, Jul 2016].	cancer
ENSG00000188001.10|TPRG1	25	611.443355	2551.415733	1939.972378	unknown	Predicted to be active in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]	cancer
ENSG00000131015.5|ULBP2	26	595.917393	1921.765905	1325.848511	unknown	This gene encodes a major histocompatibility complex (MHC) class I-related molecule that binds to the NKG2D receptor on natural killer (NK) cells to trigger release of multiple cytokines and chemokines that in turn contribute to the recruitment and activation of NK cells. The encoded protein undergoes further processing to generate the mature protein that is either anchored to membrane via a glycosylphosphatidylinositol moiety, or secreted. Many malignant cells secrete the encoded protein to evade immunosurveillance by NK cells. This gene is located in a cluster of multiple MHC class I-related genes on chromosome 6. [provided by RefSeq, Jul 2015].	cancer
ENSG00000078098.14|FAP	27	586.943951	2877.967995	2291.024044	unknown	The protein encoded by this gene is a homodimeric integral membrane gelatinase belonging to the serine protease family. It is selectively expressed in reactive stromal fibroblasts of epithelial cancers, granulation tissue of healing wounds, and malignant cells of bone and soft tissue sarcomas. This protein is thought to be involved in the control of fibroblast growth or epithelial-mesenchymal interactions during development, tissue repair, and epithelial carcinogenesis. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Apr 2014].	cancer
ENSG00000110906.13|KCTD10	28	575.953637	3527.560893	2951.607255	unknown	The protein encoded by this gene binds proliferating cell nuclear antigen (PCNA) and may be involved in DNA synthesis and cell proliferation. In addition, the encoded protein may be a tumor suppressor. Several protein-coding and non-protein coding transcript variants have been found for this gene. [provided by RefSeq, Dec 2015].	cancer
ENSG00000148400.12|NOTCH1	29	554.559523	2575.766615	2021.207092	unknown	This gene encodes a member of the NOTCH family of proteins. Members of this Type I transmembrane protein family share structural characteristics including an extracellular domain consisting of multiple epidermal growth factor-like (EGF) repeats, and an intracellular domain consisting of multiple different domain types. Notch signaling is an evolutionarily conserved intercellular signaling pathway that regulates interactions between physically adjacent cells through binding of Notch family receptors to their cognate ligands. The encoded preproprotein is proteolytically processed in the trans-Golgi network to generate two polypeptide chains that heterodimerize to form the mature cell-surface receptor. This receptor plays a role in the development of numerous cell and tissue types. Mutations in this gene are associated with aortic valve disease, Adams-Oliver syndrome, T-cell acute lymphoblastic leukemia, chronic lymphocytic leukemia, and head and neck squamous cell carcinoma. [provided by RefSeq, Jan 2016].	cancer
ENSG00000104415.14|CCN4	30	548.437844	2528.864495	1980.426650	unknown	This gene encodes a member of the WNT1 inducible signaling pathway (WISP) protein subfamily, which belongs to the connective tissue growth factor (CTGF) family. WNT1 is a member of a family of cysteine-rich, glycosylated signaling proteins that mediate diverse developmental processes. The CTGF family members are characterized by four conserved cysteine-rich domains: insulin-like growth factor-binding domain, von Willebrand factor type C module, thrombospondin domain and C-terminal cystine knot-like domain. This gene may be downstream in the WNT1 signaling pathway that is relevant to malignant transformation. It is expressed at a high level in fibroblast cells, and overexpressed in colon tumors. The encoded protein binds to decorin and biglycan, two members of a family of small leucine-rich proteoglycans present in the extracellular matrix of connective tissue, and possibly prevents the inhibitory activity of decorin and biglycan in tumor cell proliferation. It also attenuates p53-mediated apoptosis in response to DNA damage through activation of the Akt kinase. It is 83% identical to the mouse protein at the amino acid level. Multiple alternatively spliced transcript variants have been identified. [provided by RefSeq, Mar 2011].	cancer
ENSG00000134508.12|CABLES1	31	524.676740	2620.209149	2095.532409	unknown	This gene encodes a protein involved in regulation of the cell cycle through interactions with several cyclin-dependent kinases. One study (PMID: 16177568) reported aberrant splicing of transcripts from this gene which results in removal of the cyclin binding domain only in human cancer cells, and reduction in gene expression was shown in colorectal cancers (PMID: 17982127).Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2012].	cancer
ENSG00000162434.13|JAK1	32	521.842527	3640.202472	3118.359945	unknown	This gene encodes a membrane protein that is a member of a class of protein-tyrosine kinases (PTK) characterized by the presence of a second phosphotransferase-related domain immediately N-terminal to the PTK domain. The encoded kinase phosphorylates STAT proteins (signal transducers and activators of transcription) and plays a key role in interferon-alpha/beta, interferon-gamma, and cytokine signal transduction. This gene plays a crucial role in effecting the expression of genes that mediate inflammation, epithelial remodeling, and metastatic cancer progression. This gene is a key component of the interleukin-6 (IL-6)/JAK1/STAT3 immune and inflammation response and is a therapeutic target for alleviating cytokine storms. The kinase activity of this gene is directly inhibited by the suppressor of cytokine signalling 1 (SOCS1) protein. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2020].	cancer
ENSG00000198121.13|LPAR1	33	518.940747	2828.688730	2309.747983	unknown	The integral membrane protein encoded by this gene is a lysophosphatidic acid (LPA) receptor from a group known as EDG receptors. These receptors are members of the G protein-coupled receptor superfamily. Utilized by LPA for cell signaling, EDG receptors mediate diverse biologic functions, including proliferation, platelet aggregation, smooth muscle contraction, inhibition of neuroblastoma cell differentiation, chemotaxis, and tumor cell invasion. Many transcript variants encoding a few different isoforms have been identified for this gene. [provided by RefSeq, Oct 2020].	cancer
ENSG00000140612.14|SEC11A	34	512.230328	1907.990899	1395.760571	unknown	This gene encodes a member of the peptidase S26B family. The encoded protein is an 18kDa subunit of the signal peptidase complex and has been linked to cell migration and invasion, gastric cancer and lymph node metastasis. Alternative splicing results in multiple transcript variants. A related pseudogene has been identified on chromosome 8. [provided by RefSeq, Dec 2012].	cancer
ENSG00000173757.10|STAT5B	35	481.518445	3106.066405	2624.547960	unknown	The protein encoded by this gene is a member of the STAT family of transcription factors. In response to cytokines and growth factors, STAT family members are phosphorylated by the receptor associated kinases, and then form homo- or heterodimers that translocate to the cell nucleus where they act as transcription activators. This protein mediates the signal transduction triggered by various cell ligands, such as IL2, IL4, CSF1, and different growth hormones. It has been shown to be involved in diverse biological processes, such as TCR signaling, apoptosis, adult mammary gland development, and sexual dimorphism of liver gene expression. This gene was found to fuse to retinoic acid receptor-alpha (RARA) gene in a small subset of acute promyelocytic leukemias (APLL). The dysregulation of the signaling pathways mediated by this protein may be the cause of the APLL. [provided by RefSeq, Jul 2008].	breast_cancer
ENSG00000131149.19|GSE1	36	481.115100	2903.014906	2421.899805	unknown	This gene encodes a proline-rich protein with coiled coil domains that may be a subunit of a BRAF35-HDAC (BHC) histone deacetylase complex. This gene may function as an oncogene in breast cancer and enhanced expression of the encoded protein has been observed in breast cancer patients. [provided by RefSeq, May 2017].	breast_cancer
ENSG00000101265.16|RASSF2	37	478.444986	2790.977185	2312.532199	unknown	This gene encodes a protein that contains a Ras association domain. Similar to its cattle and sheep counterparts, this gene is located near the prion gene. Two alternatively spliced transcripts encoding the same isoform have been reported. [provided by RefSeq, Jul 2008].	cancer
ENSG00000158828.8|PINK1	38	467.139357	2960.979118	2493.839761	unknown	This gene encodes a serine/threonine protein kinase that localizes to mitochondria. It is thought to protect cells from stress-induced mitochondrial dysfunction. Mutations in this gene cause one form of autosomal recessive early-onset Parkinson disease. [provided by RefSeq, Jul 2008].	cancer
ENSG00000145423.5|SFRP2	39	463.393484	2304.597822	1841.204339	unknown	This gene encodes a member of the SFRP family that contains a cysteine-rich domain homologous to the putative Wnt-binding site of Frizzled proteins. SFRPs act as soluble modulators of Wnt signaling. Methylation of this gene is a potential marker for the presence of colorectal cancer. [provided by RefSeq, Jul 2008].	cancer
ENSG00000123610.5|TNFAIP6	40	456.277345	2400.654282	1944.376937	unknown	The protein encoded by this gene is a secretory protein that contains a hyaluronan-binding domain, and thus is a member of the hyaluronan-binding protein family. The hyaluronan-binding domain is known to be involved in extracellular matrix stability and cell migration. This protein has been shown to form a stable complex with inter-alpha-inhibitor (I alpha I), and thus enhance the serine protease inhibitory activity of I alpha I, which is important in the protease network associated with inflammation. This gene can be induced by proinflammatory cytokines such as tumor necrosis factor alpha and interleukin-1. Enhanced levels of this protein are found in the synovial fluid of patients with osteoarthritis and rheumatoid arthritis.[provided by RefSeq, Dec 2010].	cancer
ENSG00000197081.16|IGF2R	41	441.444987	3189.739367	2748.294381	unknown	This gene encodes a receptor for both insulin-like growth factor 2 and mannose 6-phosphate. The binding sites for each ligand are located on different segments of the protein. This receptor has various functions, including in the intracellular trafficking of lysosomal enzymes, the activation of transforming growth factor beta, and the degradation of insulin-like growth factor 2. Mutation or loss of heterozygosity of this gene has been association with risk of hepatocellular carcinoma. The orthologous mouse gene is imprinted and shows exclusive expression from the maternal allele; however, imprinting of the human gene may be polymorphic, as only a minority of individuals showed biased expression from the maternal allele (PMID:8267611). [provided by RefSeq, Nov 2015].	cancer
ENSG00000113916.18|BCL6	42	431.945782	2168.700095	1736.754313	unknown	The protein encoded by this gene is a zinc finger transcription factor and contains an N-terminal POZ domain. This protein acts as a sequence-specific repressor of transcription, and has been shown to modulate the transcription of STAT-dependent IL-4 responses of B cells. This protein can interact with a variety of POZ-containing proteins that function as transcription corepressors. This gene is found to be frequently translocated and hypermutated in diffuse large-cell lymphoma (DLCL), and may be involved in the pathogenesis of DLCL. Alternatively spliced transcript variants encoding different protein isoforms have been found for this gene. [provided by RefSeq, Aug 2015].	cancer
ENSG00000101665.9|SMAD7	43	430.268558	3039.688441	2609.419883	unknown	The protein encoded by this gene is a nuclear protein that binds the E3 ubiquitin ligase SMURF2. Upon binding, this complex translocates to the cytoplasm, where it interacts with TGF-beta receptor type-1 (TGFBR1), leading to the degradation of both the encoded protein and TGFBR1. Expression of this gene is induced by TGFBR1. Variations in this gene are a cause of susceptibility to colorectal cancer type 3 (CRCS3). Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2010].	cancer
ENSG00000111269.3|CREBL2	44	419.308753	3587.991293	3168.682540	unknown	cAMP response element (CRE)-binding protein-like-2 (CREBL2) was identified in a search to find genes in a commonly deleted region on chromosome 12p13 flanked by ETV6 and CDKN1B genes, frequently associated with hematopoietic malignancies, as well as breast, non-small-cell lung and ovarian cancers. CREBL2 shares a 41% identity with CRE-binding protein (CREB) over a 48-base long region which encodes the bZip domain of CREB. The bZip domain consists of about 30 amino acids rich in basic residues involved in DNA binding, followed by a leucine zipper motif involved in protein dimerization. This suggests that CREBL2 encodes a protein with DNA binding capabilities. The occurance of CREBL2 deletion in malignancy suggests that CREBL2 may act as a tumor suppressor gene. [provided by RefSeq, Jul 2008].	cancer
ENSG00000177374.13|HIC1	45	407.858047	2348.206760	1940.348713	unknown	This gene functions as a growth regulatory and tumor repressor gene. Hypermethylation or deletion of the region of this gene have been associated with tumors and the contiguous-gene syndrome, Miller-Dieker syndrome. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Sep 2010].	cancer
ENSG00000087074.8|PPP1R15A	46	401.082733	2008.900356	1607.817623	unknown	This gene is a member of a group of genes whose transcript levels are increased following stressful growth arrest conditions and treatment with DNA-damaging agents. The induction of this gene by ionizing radiation occurs in certain cell lines regardless of p53 status, and its protein response is correlated with apoptosis following ionizing radiation. [provided by RefSeq, Jul 2008].	cancer
ENSG00000186340.16|THBS2	47	387.089334	2854.409169	2467.319835	unknown	The protein encoded by this gene belongs to the thrombospondin family. It is a disulfide-linked homotrimeric glycoprotein that mediates cell-to-cell and cell-to-matrix interactions. This protein has been shown to function as a potent inhibitor of tumor growth and angiogenesis. Studies of the mouse counterpart suggest that this protein may modulate the cell surface properties of mesenchymal cells and be involved in cell adhesion and migration. [provided by RefSeq, Jul 2008].	cancer
ENSG00000148484.18|RSU1	48	384.634787	2382.778771	1998.143984	unknown	This gene encodes a protein that is involved in the Ras signal transduction pathway, growth inhibition, and nerve-growth factor induced differentiation processes, as determined in mouse and human cell line studies. In mouse, the encoded protein was initially isolated based on its ability to inhibit v-Ras transformation. Multiple alternatively spliced transcript variants for this gene have been reported; one of these variants was found only in glioma tumors. [provided by RefSeq, Jul 2008].	cancer
ENSG00000159388.6|BTG2	49	1659.529393	2822.484660	1162.955267	unknown	The protein encoded by this gene is a member of the BTG/Tob family. This family has structurally related proteins that appear to have antiproliferative properties. This encoded protein is involved in the regulation of the G1/S transition of the cell cycle. [provided by RefSeq, Jul 2008].	non_cancer
ENSG00000148218.16|ALAD	50	1521.046816	3182.430612	1661.383796	unknown	The ALAD enzyme is composed of 8 identical subunits and catalyzes the condensation of 2 molecules of delta-aminolevulinate to form porphobilinogen (a precursor of heme, cytochromes and other hemoproteins). ALAD catalyzes the second step in the porphyrin and heme biosynthetic pathway; zinc is essential for enzymatic activity. ALAD enzymatic activity is inhibited by lead and a defect in the ALAD structural gene can cause increased sensitivity to lead poisoning and acute hepatic porphyria. Alternative splicing of this gene results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Dec 2015].	non_cancer
ENSG00000012660.14|ELOVL5	51	1392.601217	3047.078626	1654.477409	unknown	This gene belongs to the ELO family. It is highly expressed in the adrenal gland and testis, and encodes a multi-pass membrane protein that is localized in the endoplasmic reticulum. This protein is involved in the elongation of long-chain polyunsaturated fatty acids. Mutations in this gene have been associated with spinocerebellar ataxia-38 (SCA38). Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Sep 2014].	non_cancer
ENSG00000148339.12|SLC25A25	52	1387.898727	2789.532694	1401.633967	unknown	The protein encoded by this gene belongs to the family of calcium-binding mitochondrial carriers, with a characteristic mitochondrial carrier domain at the C-terminus. These proteins are found in the inner membranes of mitochondria, and function as transport proteins. They shuttle metabolites, nucleotides and cofactors through the mitochondrial membrane and thereby connect and/or regulate cytoplasm and matrix functions. This protein may function as an ATP-Mg/Pi carrier that mediates the transport of Mg-ATP in exchange for phosphate, and likely responsible for the net uptake or efflux of adenine nucleotides into or from the mitochondria. Alternatively spliced transcript variants encoding different isoforms with a common C-terminus but variable N-termini have been described for this gene. [provided by RefSeq, Jul 2012].	non_cancer
ENSG00000119689.15|DLST	53	1383.334114	2983.313795	1599.979681	unknown	This gene encodes a mitochondrial protein that belongs to the 2-oxoacid dehydrogenase family. This protein is one of the three components (the E2 component) of the 2-oxoglutarate dehydrogenase complex that catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2). Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Oct 2011].	non_cancer
ENSG00000163820.15|FYCO1	54	1264.771468	3771.670978	2506.899510	unknown	The gene encodes a Rab7 adapter protein that is implicated in the microtubule transport of autophagosomes. The encoded protein contains a RUN domain, a FYVE-type zinc finger domain, and Golgi dynamics (GOLD) domain. The encoded protein plays a role in microtubule plus end-directed transport of autophagic vesicles through interactions with the small GTPase Rab7, phosphatidylinositol-3-phosphate (PI3P), the autophagosome marker LC3, and the kinesin KIF5. Mutations in this gene are associated with inclusion body myositis (IBM) and autosomal recessive congenital cataracts (CATC2). [provided by RefSeq, Aug 2020].	non_cancer
ENSG00000166272.18|WBP1L	55	1248.509838	3464.100462	2215.590624	unknown	Predicted to enable ubiquitin protein ligase binding activity. Predicted to act upstream of or within CXCL12-activated CXCR4 signaling pathway; hemopoiesis; and positive regulation of protein ubiquitination. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]	non_cancer
ENSG00000082641.16|NFE2L1	56	1239.476952	3038.418985	1798.942033	unknown	This gene encodes a protein that is involved in globin gene expression in erythrocytes. Confusion has occurred in bibliographic databases due to the shared symbol of NRF1 for this gene, NFE2L1, and for 'nuclear respiratory factor 1' which has an official symbol of NRF1. [provided by RefSeq, Jul 2008].	non_cancer
ENSG00000084754.12|HADHA	57	1238.499157	2735.866220	1497.367063	unknown	This gene encodes the alpha subunit of the mitochondrial trifunctional protein, which catalyzes the last three steps of mitochondrial beta-oxidation of long chain fatty acids. The mitochondrial membrane-bound heterocomplex is composed of four alpha and four beta subunits, with the alpha subunit catalyzing the 3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase activities. Mutations in this gene result in trifunctional protein deficiency or LCHAD deficiency. The genes of the alpha and beta subunits of the mitochondrial trifunctional protein are located adjacent to each other in the human genome in a head-to-head orientation. [provided by RefSeq, Jul 2008].	non_cancer
